city,contaminants,2010,2011,2012,2013,2014
Бобруйск,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Бобруйск,Диоксид азота,1 / 2,1 / 0,0 / 0,1 / –,1 / 1
Брест,Твердые частицы фракции РМ10,– / –,0 / 30,– / 21,– / –,0 / 4
Брест,Диоксид серы,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Брест,Оксид углерода,1 / 0,0 / 0,0 / 0,0 / –,1 / 0
Брест,Диоксид азота,4 / 0,2 / 0,0 / 0,3 / –,14 / 3
Витебск,Твердые частицы фракции РМ10,0 / 16,0 / 11,– / –,– / 0,– / 3
Витебск,Диоксид серы,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Витебск,Оксид углерода,1 / 0,0 / 0,0 / 0,0 / –,0 / 0
Витебск,Диоксид азота,0 / 0,0 / 0,0 / 0,0 / –,1/ 0
Гомель,Твердые частицы фракции РМ10,– / –,–/(1 - 71),– / 35,– / 38,– / 60
Гомель,Оксидуглерода,0 / 0,0 / 0,0 / 1,0 / –,61 / 2
Гомель,Диоксидазота,0 / 0,1/ 0,0 / 0,0 / –,1 / 1
Гродно,Твердые частицы фракции РМ10,– / –,0 / 13,– / 8,– / 2,– / 2
Гродно,Диоксидсеры,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Гродно,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Гродно,Диоксид азота,1 / 0,13/ 0,0 / 0,0 / –,1 / 0
Минск,Твердые частицы фракции РМ10,– / (11 - 87),– / (7 - 35),–/ (14 - 53),–/ (6 - 38),– / 49
Минск,Диоксид серы,0 / 0,0 / 0,1 / 0,0 / –,0 / 0
Минск,Оксид углерода,1 / 0,0/ 0,0 / 0,0 / –,11 / 0
Минск,Диоксид азота,4 / 0,9/ 0,9 / 1,9 / 30,13 / 15
Могилев,Твердые частицы фракции РМ10,– / 21,– / (10 - 26),– / (1 - 27),– / (4 - 17),– / 57
Могилев,Диоксид серы,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Могилев,Оксид углерода,4 / 0,1 / 0,0 / 0,1 / –,1 / 0
Могилев,Диоксид азота,37 / 6,39 / 12,25 / 10,33 / 11,26 / 29
Новополоцк,Твердые частицы фракции РМ10,– / –,– / 1,– / 2,– / 2,– / 9
Новополоцк,Диоксид серы,0 / 0,0 / 0,0 / 0,2 / 3,12 / 2
Новополоцк,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,1 / 0
Новополоцк,Диоксид азота,16 / 1,11 / 10,11 / 9,11 / 21,0 / 0
Орша,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Орша,Диоксид азота,1 / 0,2 / 0,1 / 0,0 / –,0 / 0
Пинск,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Пинск,Диоксид азота,0 / 0,0 / 0,0 / 8,0 / –,1 / 0
Полоцк,Твердые частицы фракции РМ10,– / –,– / 3,– / 6,– / 0,– / 0
Полоцк,Диоксидсеры,0 / 0,0 / 0,0 / 0,2 / –,12 / 1
Полоцк,Оксидуглерода,0 / 0,0 / 0,0 / 0,0 / –,1 / 0
Полоцк,Диоксидазота,6 / 4,1 / 0,8 / 40,10 / –,3 / 2
Светлогорск,Оксид углерода,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
Светлогорск,Диоксид азота,0 / 0,0 / 0,0 / 0,0 / –,0 / 0
