"speciesRus","speciesLat","observationsNumber","individualsNumber","individualsPerObservation","speciesShare"
"Скворец обыкновенный","Sturnus vulgaris",27,11148,412.888888888889,0.323646392800116
"Грач","Corvus frugilegus",42,3906,93,0.113398170997242
"Галка","Corvus monedula",34,2917,85.7941176470588,0.0846857308753085
"Чайка серебристая","Larus argentatus",2,2002,1001,0.0581216431993032
"Голубь сизый","Columba livia forma urbana",43,1735,40.3488372093023,0.0503701553200755
"Воробей полевой","Passer montanus",46,1727,37.5434782608696,0.0501379010015967
"Кряква","Anas platyrhynchos",34,1485,43.6764705882353,0.043112207867615
"Воробей домовый","Passer domesticus",49,1040,21.2244897959184,0.0301930614022354
"Чайка сизая","Larus canus",13,890,68.4615384615385,0.0258382929307592
"Гусь серый","Anser anser",9,698,77.5555555555556,0.0202641892872696
"Синица большая","Parus major",53,635,11.9811320754717,0.0184351865292495
"Чибис","Vanellus vanellus",3,546,182,0.0158513572361736
"Чайка озерная","Chroicocephalus ridibundus",13,515,39.6153846153846,0.0149513717520685
"Ворона серая","Corvus corone",41,485,11.8292682926829,0.0140804180577733
"Рябинник","Turdus pilaris",19,461,24.2631578947368,0.0133836551023371
"Лысуха","Fulica atra",12,378,31.5,0.0109740165481202
"Журавль серый","Grus grus",10,281,28.1,0.00815793293656554
"Ворон","Corvus corax",24,273,11.375,0.0079256786180868
"Сойка","Garrulus glandarius",37,235,6.35135135135135,0.00682247060531282
"Сорока","Pica pica",35,178,5.08571428571429,0.00516765858615184
"Щегол черноголовый","Carduelis carduelis",11,177,16.0909090909091,0.00513862679634199
"Чиж","Carduelis spinus",3,165,55,0.00479024531862389
"Зяблик","Fringilla coelebs",9,161,17.8888888888889,0.00467411815938453
"Овсянка обыкновенная","Emberiza citrinella",11,145,13.1818181818182,0.00420960952242706
"Гусь белолобый","Anser albifrons",5,141,28.2,0.00409348236318769
"Вяхирь","Columba palumbus",8,138,17.25,0.00400638699375816
"Баклан большой","Phalacrocorax carbo",3,133,44.3333333333333,0.00386122804470896
"Лебедь-шипун","Cygnus olor",18,111,6.16666666666667,0.00322252866889244
"Зеленушка обыкновенная","Carduelis chloris",15,100,6.66666666666667,0.00290317898098418
